name,time,flow_in,flow_out,pressure_in,pressure_out
branch29_seg0,7.5000000000000000e-01,5.9517724253258386e-05,5.9517724253211379e-05,6.5364254414546980e+04,6.2046990447113698e+04
branch29_seg0,1.0000000000000000e+00,5.9517724253561346e-05,5.9517724253580041e-05,6.5364254414768147e+04,6.2046990447322591e+04
branch30_seg0,0.0000000000000000e+00,5.9517724253851553e-05,5.9517724254569972e-05,6.8856335717105510e+04,6.5364254417980243e+04
branch30_seg0,2.5000000000000000e-01,5.9517724253177694e-05,5.9517724252852244e-05,6.8856335712549364e+04,6.5364254413428316e+04
branch30_seg0,5.0000000000000000e-01,5.9517724253629799e-05,5.9517724253774961e-05,6.8856335714320609e+04,6.5364254415192125e+04
branch30_seg0,7.5000000000000000e-01,5.9517724253321947e-05,5.9517724253258386e-05,6.8856335713667650e+04,6.5364254414546980e+04
branch30_seg0,1.0000000000000000e+00,5.9517724253534146e-05,5.9517724253561346e-05,6.8856335713895794e+04,6.5364254414768147e+04
branch31_seg0,0.0000000000000000e+00,5.9517724253011662e-05,5.9517724253851553e-05,7.2451575901100645e+04,6.8856335717105510e+04
branch31_seg0,2.5000000000000000e-01,5.9517724253568325e-05,5.9517724253177694e-05,7.2451575896616792e+04,6.8856335712549364e+04
branch31_seg0,5.0000000000000000e-01,5.9517724253449849e-05,5.9517724253629799e-05,7.2451575898359675e+04,6.8856335714320609e+04
branch31_seg0,7.5000000000000000e-01,5.9517724253403994e-05,5.9517724253321947e-05,7.2451575897715476e+04,6.8856335713667650e+04
branch31_seg0,1.0000000000000000e+00,5.9517724253497161e-05,5.9517724253534146e-05,7.2451575897943025e+04,6.8856335713895794e+04
branch32_seg0,0.0000000000000000e+00,5.9517724252050503e-05,5.9517724253011662e-05,7.6108559731008587e+04,7.2451575901100645e+04
branch32_seg0,2.5000000000000000e-01,5.9517724254025981e-05,5.9517724253568325e-05,7.6108559726687163e+04,7.2451575896616792e+04
branch32_seg0,5.0000000000000000e-01,5.9517724253233198e-05,5.9517724253449849e-05,7.6108559728358479e+04,7.2451575898359675e+04
branch32_seg0,7.5000000000000000e-01,5.9517724253505990e-05,5.9517724253403994e-05,7.6108559727743632e+04,7.2451575897715476e+04
branch32_seg0,1.0000000000000000e+00,5.9517724253449409e-05,5.9517724253497161e-05,7.6108559727960834e+04,7.2451575897943025e+04
branch33_seg0,0.0000000000000000e+00,5.9517724250970936e-05,5.9517724252050503e-05,7.9803956358956028e+04,7.6108559731008587e+04
branch33_seg0,2.5000000000000000e-01,5.9517724254550863e-05,5.9517724254025981e-05,7.9803956354899099e+04,7.6108559726687163e+04
branch33_seg0,5.0000000000000000e-01,5.9517724252978885e-05,5.9517724253233198e-05,7.9803956356448893e+04,7.6108559728358479e+04
